pid,start_time,end_time,epoch_start,epoch_end,complete_title,media_type,masterbrand,service,brand_pid,is_clip,categories,tags
p003c1cx,1147942020,1148546820,2006-05-18T08:47:00,2006-05-25T08:47:00,in_our_time:_mill,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[victorian_era.philosophy.19th_century.great_britain]
p003c1b9,1148546820,1149151620,2006-05-25T08:47:00,2006-06-01T08:47:00,in_our_time:_mathematics_and_music,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[mathematics.cultural_history.music]
p003c1bw,1150966020,1151570820,2006-06-22T08:47:00,2006-06-29T08:47:00,in_our_time:_the_spanish_inquisition,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[religion.middle_ages.christianity.history.spain.protestant_reformation.europe]
p003c1cn,1151570820,1152175620,2006-06-29T08:47:00,2006-07-06T08:47:00,in_our_time:_galaxies,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[astronomy.outer_space.cosmology.history_of_science.andromeda_galaxy.galaxy]
p0038x9c,1164275220,1164880020,2006-11-23T09:47:00,2006-11-30T09:47:00,in_our_time:_altruism,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[evolution.ethics.charles_darwin.victorian_era.philosophy.19th_century.richard_dawkins]
p0038xb6,1166694420,1167299220,2006-12-21T09:47:00,2006-12-28T09:47:00,in_our_time:_hell,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[ethics.cultural_history.religion.christianity.20th_century]
b007731w,1169113620,1169718420,2007-01-18T09:47:00,2007-01-25T09:47:00,in_our_time:_the_jesuits,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[religion.christianity.protestant_reformation.16th_century.europe.history_of_science]
b00773y4,1170928020,1171532820,2007-02-08T09:47:00,2007-02-15T09:47:00,in_our_time:_popper,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[philosophy.20th_century.history_of_science.political_philosophy]
b0077474,1171532820,1172137620,2007-02-15T09:47:00,2007-02-22T09:47:00,in_our_time:_heart_of_darkness,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[africa.cultural_history.20th_century.literature]
b007768m,1175762820,1176367620,2007-04-05T08:47:00,2007-04-12T08:47:00,in_our_time:_st_hilda,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[religion.dark_ages.dark_ages_(historiography)]
b00776v8,1176972420,1177577220,2007-04-19T08:47:00,2007-04-26T08:47:00,in_our_time:_symmetry,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[mathematics.physics.history_of_science]
b0077744,1177577220,1178182020,2007-04-26T08:47:00,2007-05-03T08:47:00,in_our_time:_greek_and_roman_love_poetry,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[ancient_rome.cultural_history.love.poetry.literature.ancient_greece]
b0079ps2,1178182020,1178786820,2007-05-03T08:47:00,2007-05-10T08:47:00,in_our_time:_spinoza,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[ethics.religion.18th_century.philosophy.age_of_enlightenment]
b007d9k6,1178786820,1179391620,2007-05-10T08:47:00,2007-05-17T08:47:00,in_our_time:_victorian_pessimism,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[cultural_history.victorian_era.19th_century.literature]
b007zckq,1190548920,1191153720,2007-09-23T12:02:00,2007-09-30T12:02:00,groucho_was_my_father:_episode_3,audio,bbc_radio_four_extra,bbc_7,,0,[9100005:1:factual],[]
b008g2x5,1197539220,1198144020,2007-12-13T09:47:00,2007-12-20T09:47:00,in_our_time:_the_sassanid_empire,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[ancient_rome.history.middle_east]
b008h5dz,1198144020,1198748820,2007-12-20T09:47:00,2007-12-27T09:47:00,in_our_time:_the_four_humours,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[middle_ages.medicine.history_of_science]
b008kmqp,1199353620,1199958420,2008-01-03T09:47:00,2008-01-10T09:47:00,in_our_time:_camus,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[africa.france.philosophy.20th_century.communism.literature]
b008xh3x,1202982420,1203587220,2008-02-14T09:47:00,2008-02-21T09:47:00,in_our_time:_the_statue_of_liberty,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[new_york_city.france.history.19th_century]
b0092j0x,1204796820,1205401620,2008-03-06T09:47:00,2008-03-13T09:47:00,in_our_time:_lovelace,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[mathematics.victorian_era.19th_century.great_britain.history_of_science]
b007m6x9,1206201720,1206806520,2008-03-22T16:02:00,2008-03-29T16:02:00,world_routes:_in_cuba:_santiago_de_cuba_and_son_music,audio,bbc_radio_three,bbc_radio_three,b006tnmp,0,[9100006:1:music.9200072:2:world],[cuba.music_of_cuba.son_(music)]
b00b1m9b,1209631620,1210236420,2008-05-01T08:47:00,2008-05-08T08:47:00,in_our_time:_the_enclosures_of_the_18th_century,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[agriculture.18th_century.history.19th_century.great_britain]
b007wxhs,1210269720,1210874520,2008-05-08T18:02:00,2008-05-15T18:02:00,the_house_on_the_borderland:_episode_4,audio,bbc_radio_four_extra,bbc_7,,0,[9100003:1:drama.9200022:2:horror_and_supernatural],[]
b00bc49y,1211036520,1211641320,2008-05-17T15:02:00,2008-05-24T15:02:00,world_routes:_world_routes_in_poland,audio,bbc_radio_three,bbc_radio_three,b006tnmp,0,[9100006:1:music.9200072:2:world],[poland.music_of_poland]
b00bzdg4,1213260420,1213865220,2008-06-12T08:47:00,2008-06-19T08:47:00,in_our_time:_the_riddle_of_the_sands,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[germany.cultural_history.world_war_i.victorian_era.war.history.20th_century.great_britain.literature]
b00c4bs5,1213981320,1214586120,2008-06-20T17:02:00,2008-06-27T17:02:00,like_theyve_never_been_gone:_series_3:_episode_4,audio,bbc_radio_four_extra,bbc_7,b009zgjz,0,[9100098:1:comedy.9200010:2:sitcoms],[]
b00c4c9r,1214402028,1215006828,2008-06-25T13:53:48,2008-07-02T13:53:48,world_routes:_world_routes_in_china:_the_uyghur_people_and_the_muqam,audio,bbc_radio_three,bbc_radio_three,b006tnmp,0,[9100006:1:music.9200072:2:world],[china.music_of_china]
b00c7d1c,1215099577,1215704377,2008-07-03T15:39:37,2008-07-10T15:39:37,like_theyve_never_been_gone:_series_3:_episode_5,audio,bbc_radio_four_extra,bbc_7,b009zgjz,0,[9100098:1:comedy.9200010:2:sitcoms],[]
b00cdtxp,1215679620,1216284420,2008-07-10T08:47:00,2008-07-17T08:47:00,in_our_time:_tacitus_and_the_decadence_of_rome,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[ancient_rome.history.italy]
b00cjs2c,1215849720,1216454520,2008-07-12T08:02:00,2008-07-19T08:02:00,decline_and_fall:_episode_6,audio,bbc_7,bbc_7,,0,[9100003:1:drama],[]
b007jvgy,1216022520,1216627320,2008-07-14T08:02:00,2008-07-21T08:02:00,old_dog_and_partridge:_episode_6,audio,bbc_radio_four_extra,bbc_7,,0,[9100098:1:comedy.9200010:2:sitcoms],[]
b008d1xh,1216542720,1217147520,2008-07-20T08:32:00,2008-07-27T08:32:00,evelyn_waugh_short_stories:_on_guard,audio,bbc_radio_four_extra,bbc_7,b00cnk57,0,[9100003:1:drama],[]
b007jp9d,1219834920,1220439720,2008-08-27T11:02:00,2008-09-03T11:02:00,wilkie_collins_-_the_moonstone:_episode_2,audio,bbc_7,bbc_7,,0,[9100003:1:drama],[]
b00d9yq4,1220992320,1221597120,2008-09-09T20:32:00,2008-09-16T20:32:00,big_bang_day:_the_making_of_cern:_episode_2,audio,bbc_radio_four,bbc_radio_four,,0,[9100005:1:factual.9200059:2:science_and_nature],[physics.1970s.big_bang.switzerland.cern]
b00d9yz3,1221036420,1221641220,2008-09-10T08:47:00,2008-09-17T08:47:00,big_bang_day:_engineering_solutions,audio,bbc_radio_four,bbc_radio_four,,0,[9100005:1:factual.9200059:2:science_and_nature],[physics.engineering.big_bang.cern]
b00dkh78,1222332420,1222937220,2008-09-25T08:47:00,2008-10-02T08:47:00,in_our_time:_miracles,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[religion.middle_ages.christianity.philosophy.early_modern_period]
b00fhp85,1227174420,1227779220,2008-11-20T09:47:00,2008-11-27T09:47:00,in_our_time:_the_baroque_movement,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[cultural_history.religion.17th_century.18th_century.architecture.europe.johann_sebastian_bach.visual_arts.early_modern_period]
b00flwh9,1227779220,1228384020,2008-11-27T09:47:00,2008-12-04T09:47:00,in_our_time:_the_great_reform_act,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history.9200058:2:politics],[democracy.history.19th_century.great_britain.civil_and_political_rights]
b00g9z9x,1231148820,1231753620,2009-01-05T09:47:00,2009-01-12T09:47:00,in_our_time:_darwin:_in_our_time:_darwin:_on_the_origins_of_charles_darwin,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200045:2:life_stories.9200055:2:history],[evolution.shropshire.charles_darwin.scientist.victorian_era.19th_century.cambridge.history_of_science]
b00gdhqf,1231408020,1232012820,2009-01-08T09:47:00,2009-01-15T09:47:00,in_our_time:_darwin:_in_our_time:_darwin:_life_after_origins,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200045:2:life_stories.9200055:2:history],[evolution.kent.charles_darwin.scientist.victorian_era.19th_century.history_of_science]
b00fz12s,1232217362,1232822162,2009-01-17T18:36:02,2009-01-24T18:36:02,3rd_and_bird:_series_1:_muffins_shop,video,cbeebies,cbeebies,b00cdv9q,0,[9100001:1:childrens.9200002:2:entertainment_and_comedy],[]
b00h3lt2,1232476363,1233081163,2009-01-20T18:32:43,2009-01-27T18:32:43,thuige_seo:_series_4:_episode_2,video,bbc_alba,bbc_alba,b00pckb2,0,[9100005:1:factual.9200045:2:life_stories.9100095:1:scotland],[]
b0079214,1232799060,1233403860,2009-01-24T12:11:00,2009-01-31T12:11:00,chucklevision:_series_18:_barryella,video,cbbc,bbc_two,b006w487,0,[dubbedaudiodescribed:1:audio_described.9100001:1:childrens.9200002:2:entertainment_and_comedy],[]
b0079ccv,1232812860,1233417660,2009-01-24T16:01:00,2009-01-31T16:01:00,young_dracula:_series_1:_episode_7,video,cbbc,bbc_one,b006mhcn,0,[9100001:1:childrens.9200003:2:drama],[]
b007jrlr,1233153529,1233758329,2009-01-28T14:38:49,2009-02-04T14:38:49,facts_and_fancies:_from_the_man_who_mistook_his_bike_for_olives,audio,bbc_7,bbc_7,,0,[9100098:1:comedy.9200009:2:satire],[]
b00h8zgx,1233341965,1233946765,2009-01-30T18:59:25,2009-02-06T18:59:25,lockie_leonard:_series_one:_face_the_fear,video,cbbc,cbbc,b00tcwj6,0,[9100001:1:childrens.9200002:2:entertainment_and_comedy],[]
b0079cj3,1233417711,1234022511,2009-01-31T16:01:51,2009-02-07T16:01:51,young_dracula:_series_1:_episode_9,video,cbbc,bbc_one,b006mhcn,0,[signed:1:signed.9100001:1:childrens.9200003:2:drama],[]
b00dzgwp,1233648963,1234253763,2009-02-03T08:16:03,2009-02-10T08:16:03,big_and_small:_series_1:_door_for_small,video,cbeebies,cbeebies,b00nkbxp,0,[signed:1:signed.9100004:1:learning.9200037:2:pre-school],[]
b00mtw7l,1233821760,1234426560,2009-02-05T08:16:00,2009-02-12T08:16:00,big_and_small:_series_1:_theres_space_for_small,video,cbeebies,cbeebies,b00nkbxp,0,[signed:1:signed.9100004:1:learning.9200037:2:pre-school],[]
